"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A560","2020-02-27 00:00:00","405.000","0.000","0.000","18.300","1.000","974.700","","0.000","-99.000","-99.000","-99.000","27.700","","12.300",""
"C0S950","2020-02-27 00:00:00","415.000","57.000","0.500","19.100","0.950","972.700","","0.000","-99.000","-99.000","-99.000","25.300","","17.700",""
"C0A880","2020-02-27 00:00:00","6.000","30.000","2.500","19.500","0.910","1019.900","","0.000","-99.000","-99.000","-99.000","26.500","","17.700",""
"C0I530","2020-02-27 00:00:00","3014.000","16.000","2.600","2.900","0.710","705.000","","0.000","-99.000","-99.000","-99.000","9.500","","1.400",""
"C0M670","2020-02-27 00:00:00","43.000","5.000","1.500","20.300","0.880","1013.400","","0.000","-99.000","-99.000","-99.000","27.900","","18.700",""
"C0Z061","2020-02-27 00:00:00","174.000","118.000","0.600","19.800","0.990","1003.700","","0.000","-99.000","-99.000","-99.000","29.200","","17.700",""
"C0U750","2020-02-27 00:00:00","398.000","31.000","6.200","16.300","1.000","974.700","","0.000","-99.000","-99.000","-99.000","23.000","","16.300",""
"C0A650","2020-02-27 00:00:00","287.000","35.000","1.900","17.500","0.990","988.800","","0.500","-99.000","-99.000","-99.000","26.400","","13.300",""
"C0I370","2020-02-27 00:00:00","671.000","0.000","0.000","15.800","0.840","944.300","","0.000","-99.000","-99.000","-99.000","26.300","","13.500",""
"C0S750","2020-02-27 00:00:00","2280.000","272.000","1.100","6.500","0.990","778.500","","0.000","-99.000","-99.000","-99.000","17.700","","5.700",""
"C0R650","2020-02-27 00:00:00","29.000","72.000","0.900","23.500","0.990","1016.200","","0.000","-99.000","-99.000","-99.000","29.700","","19.000",""
"C0E740","2020-02-27 00:00:00","27.000","53.000","1.100","20.000","0.920","1010.900","","0.000","-99.000","-99.000","-99.000","27.900","","15.100",""
"C0AI20","2020-02-27 00:00:00","25.000","50.000","8.400","17.800","0.880","1019.100","","0.000","-99.000","-99.000","-99.000","22.500","","17.500",""
"C0E550","2020-02-27 00:00:00","84.000","358.000","2.300","19.300","0.930","1009.500","","0.000","-99.000","-99.000","-99.000","26.800","","16.100",""
"C0X060","2020-02-27 00:00:00","19.000","3.000","1.900","20.000","0.940","1018.400","","0.000","-99.000","-99.000","-99.000","29.200","","16.500",""
"C0R510","2020-02-27 00:00:00","31.000","33.000","0.900","23.900","0.830","1015.300","","0.000","-99.000","-99.000","-99.000","30.200","","20.300",""
"C0AC60","2020-02-27 00:00:00","55.000","90.000","1.300","20.200","0.990","1014.600","","0.000","-99.000","-99.000","-99.000","27.600","","18.000",""
"C0UA70","2020-02-27 00:00:00","547.000","61.000","5.400","16.000","0.990","959.500","","2.000","-99.000","-99.000","-99.000","25.400","","16.000",""
"C0G740","2020-02-27 00:00:00","24.000","6.000","3.000","21.200","0.870","1016.400","","0.000","-99.000","-99.000","-99.000","26.700","","20.000",""
"C0F9N0","2020-02-27 00:00:00","75.000","15.000","1.300","21.500","0.850","1010.000","","0.000","-99.000","-99.000","-99.000","29.500","","19.800",""
"C0F9T0","2020-02-27 00:00:00","111.000","325.000","2.100","19.800","0.930","1005.300","","0.000","-99.000","-99.000","-99.000","26.800","","19.300",""
"C0S710","2020-02-27 00:00:00","382.000","33.000","2.200","19.000","0.890","977.800","","0.000","-99.000","-99.000","-99.000","26.200","","17.100",""
"C0M680","2020-02-27 00:00:00","37.000","354.000","1.200","20.800","0.950","1016.300","","0.000","-99.000","-99.000","-99.000","28.800","","19.100",""
"C0X220","2020-02-27 00:00:00","26.000","44.000","2.900","20.800","0.890","1015.900","","0.000","-99.000","-99.000","-99.000","26.000","","19.800",""
"C0R560","2020-02-27 00:00:00","22.000","346.000","1.300","23.800","0.830","1016.300","","0.000","-99.000","-99.000","-99.000","29.700","","19.900",""
"C0F9P0","2020-02-27 00:00:00","26.000","31.000","4.500","20.600","0.940","1016.900","","0.000","-99.000","-99.000","-99.000","26.900","","19.600",""
"C0O970","2020-02-27 00:00:00","71.000","352.000","0.300","20.500","0.940","1010.700","","0.000","-99.000","-99.000","-99.000","30.500","","18.000",""
"C0F0B0","2020-02-27 00:00:00","311.000","63.000","1.800","17.700","0.940","983.200","","0.000","-99.000","-99.000","-99.000","25.800","","15.200",""
